REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,EDUCATION_LEVEL,Education Level,WEALTH_QUINTILE,Wealth Quintile,RESIDENCE,Residence,UNIT_MEASURE,Unit of measure,UNIT_MULTIPLIER,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,DATA_SOURCE,OBS_CONF,Observation confidentaility,TIME_PERIOD_METHOD,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,FREQ_COLL,Time interval at which the source data are collected
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2015,14.36536,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2015,32.315559,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2015,11.18715,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2015,13.52803,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2015,13.33416,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2015,23.041981,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2015,46.00013,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2015,16.607441,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2015,38.913071,,,DHS 2015,,,,,,,0,Not Known
AFG,Afghanistan,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2015,22.89534,,,DHS 2015,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,15.21019,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,23.698139,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2016,1.453481,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2016,1.526149,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2016,5.8134909,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2016,20.194349,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2016,50.236111,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_CR_L3,Completion rate for youth of upper secondary education school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2016,3.587311,,,DHS 2015-16,,,,,,,0,Not Known
